A level	상급학년시험
conversely	거꾸로/역 관계에 있어서
conversible	거꾸로할 수 있는
conversion	개장/차환/전화/귀의/변설/개조/전환/환위/환산/개종/전향/횡령/태환/바꿔짐/이자를 원금에 가산하기
conversion agent	전환 대리 기관
conversion factor	전환율
conversion heater	전열기
conversion ratio	전환 비율 핵분열시 하나의 원자에서 생기는 원자의 수
conversion table	환산표
convert	바꾸다/귀의자/개심자/개종자/개조되다/횡령하다/태환하다/전향하다/개장하다/변화하다/차환하다/개종하다/변역하다/전환하다/환산하다/귀의시키다/개심시키다/개종시키다/회심시키다/변하게 하다/원금에 가산하다/추가 득점을 하다/추가 득점이 되다/다른 매체로 옮기다/...에 화학변화를 일으키다
converted	개종한/전환된/개장한
converter	전로/변환기/전환로/변환로/컨버터/채널 변환기/주파수 변환기/개종시키는 사람
converter reactor	전환로
convertibility	태환성/개종가능성/전환할 수 있음
convertible	태환성의/뜻이 같은/바꿀 수 있는/개조할수 있는/차환할 수 있는/환위할 수 있는/환산할 수 있는/개종시킬 수 있는/지붕을 접을 수 있는/바꾸어 말할 수 있는/전환할 수 있는 사물/지붕을 접을 수 있게 된 자동차
convertible bond	전환 사채
convertible husbandry	윤작/돌려짓기
convertible note9paper currency)	태환 지폐
convertible terms	동의어
convertiplane	전환식 비행기
convertite	개종자/갱생한 매춘부
convex	볼록한/철면의/볼록렌즈
convexity	철면/볼록함
convexoconcave	요철의/한 면은 볼록하고 다른 면은 오목한
convexoplane	평철의/뒷면은 판판하고 면은 볼록한
convey	전하다/뜻하다/알리다/옮기다/나르다/운반하다/시사하다/전달하다/양도하다
conveyance	탈것/교부/전달/수송/운반/양도/교부서/양도증서/수송기관
conveyancer	전달자/운반자/부동산 양도 취급인
conveyancing	양도 증서 작성/부동산 양도 수속
conveyer	운반인/양도인/전달자/컨베이어/운반장치/전달하는 것
conveyor belt	컨베이어 벨트
convict	죄수/죄인/기결수/유죄를 입증하다
convict colony	유형수 식민지
convict system	징역제도
conviction	신념/확신/회오/설득/설득력/죄의 자각/유죄의 판결
convictive	설득력 있는/잘못을 자각케하는
convince	확신시키다/납득시키다/수긍하게하다
convinced	확신을 가진/신념이 있는
convincible	설득력 있는/납득이 가는/수긍이 가게하는
convive	연회친구
convivial	연회의/쾌활한/연회를 좋아하는/연회를 좋아하는 사람
conviviality	주연/연희/주흥/유쾌함/연회기분/기분좋음
convocation	소집/집회/평의회/주교구 회의/대주교구 회의
convocator	소집자/회의 참가자
convoke	소집하다
convolute	포선체/회선상의/포선형의/둘둘말린/뒤얽히다/둘둘 말다
convoluted	복잡한/뒤얽힌/회선상의
convolution	회선/포선/뇌회/분규/얽힘/둘둘 말림
convolve	감다/얽다/말다/빙빙 돌다
convolvulus	메꽃
convoy	호위/호송/호위선/경호함/호위대/피호송자/호위하다/안내하다/호송하다
convulse	진동시키다/몸부림치게 하다/대소동을 일으키다/...을 경련시키다/...을 몹시 웃기다
convulsion	동란/격동/이변/경련/경기/변동/포복 절도/웃음의 발작
convulsionary	진동성의/경련적인/경련성의 사람/경련을 일으키는 사람
convulsive	발작적인/경련성의/경련을 일으킨 듯한
cooccur	동시에 일어나다
cooee	어이하고 고함치다/어이! 오스트레일리아 원주민의 고함 소리
cooer	애인/정답게 속삭이는 사람
cook	쿡/속이다/요리사/꾸미다/조작하다/일어나다/삶아지다/구워지다/요리하다/지어내다/요리되다/지치게 하다/못쓰게 만들다/음식을 만들다/식사를 준비하다/요리사로서 일하다/녹초가 되게 하다
cook cheese	가열치즈
cook general	요리및가사일반을 맡는 하인
cook up	꾸며낸 것/고기.새우.쌀.야채등으로 만든 요리
cookable	요리할 수 있는/요리해 먹을 수 있는 것
cookbook	요리책/자세한 설명서
cookee	쿡의 조수
cooker	요리 도구/요리에 알맞은 과일
cookery	요리법/조리실/취사장
cookery book	요리책
cookhouse	취사실/조리실/옥외 취사장
cookie	놈/사람/과자빵/귀여운 소녀/매력적인 여자/의 뜻에서 쿠기
cookie pusher	관리/아첨꾼/나약하고 소심한 청년/전통을 고수하는 외교관
cookie sheet	쿠키시트
cookin	요리교실/가정 요리
cooking	요리법/요리하기/요리용의
cooking apple	요리용 사과
cooking top	4개의 버너가 있는 캐비닛형 레인지
cookoff	요리 콘테스트
cookout	야외 요리
cookroom	부엌/취사실/취사장
cookshop	식당/작은 음식점
cookstove	요리용 레인지
cookware	조리기구/취사도구
cooky	쿡
cool	식다/약한/쿨한/냉기/냉정/침착/냉정한/냉담한/침착한/서늘한/시원한/근사한/훌륭한/태연한/신선한/차가운/냉정히/희미한/가라앉다/차게하다/차가워지다/열이 없는/가라앉히다/서늘한 때/서늘해지다/뻔뻔스러운/정미.../진정시키다/시원스러운/서늘한 기운/에누리 없는/서늘하게 하다/이지적 감흥을 주는
cool bag	쿨러
cool cat	재즈통/재즈팬
cool chamber	냉장실
cool headed	냉정한
cool jazz	쿨재즈
coolant	냉각제
cooler	영창/유치장/독감방/냉장고/교도소/냉각기/청량음료
coolie	쿨리/하급 노동자
coolie jacket	쿨리 재킷
cooling	냉각
cooling drinks	청량음료
cooling off	격정을 냉각시키기 위한/할부 판매 계약 취소 보증 제도
cooling off period	냉각 기간
cooling tower	냉수탑/냉각탑
coolish	조금 찬/찬 기운이 있는
coolly	서늘하게/침착하게/냉담하게/냉정하게
coolness	냉정/냉담/참착/시원함/차가움/무뚝뚝함/뻔뻔스러움
coon	검둥이/교활한 놈
coon's age	긴 세월
cooncan	쿤캔
coonhound	아메리카너구리 사냥용으로 개량된 사냥개
coonskin	그것으로 만든 모자/아메리카너구리의 털가죽
coontie	그 전분/플로리다자미아
coop	닭장/우리/감옥/가리/우리에 넣다/가두어 놓다/비좁고 갑갑한 곳/비좁은 곳에 가두다
cooper	술장수/통장이/수선하다/해치우다/통에 넣다/혼합 흑맥주/통장이 노릇을 하다
cooperage	통장이 일/통장이의 제품/통장이의 품삯
cooperant	개발도상국 원조계획 참가자
cooperate	협력하다/협동하다/서로 돕다
cooperation	원조/협업/협동/협력/협조성/협동조합/협동작용
cooperative	조합의/협동의/협력적인/협동조합/협조적인/소비조합의
cooperative apartment	조합식 아파트의 주주가 입주함
cooperative society	협동조합
cooperative store	협동 조합의 매점
cooperator	협력자/협동조합원
coopt	선임하다/조직에 흡수하다
cooptation	새 회원의 선출
coordinate	좌표/동격의/대등한/대등의/동등한/등위의/동격자/좌표의/통합하다/조정하다/대등한 것/조화시키다/동등 어구/코오디네이트/위도와 경도/대등하게 되다/대등하게 하다/조화하여 움직이다
coordinate clause	등위절
coordinate conjunction	등위 접속사
coordinated	공동 작용할 수 있는/단일 목적을 위해 2개이상의 근육계를 사용할 수 있는
coordinated universal time	협정 세계시
coordination	정합/동등/조정/공동작용/대등 관계
coordinative	조정된/대등한/동격의/동등한/등위의/외심적 구조의
coordinator	조정자/진행자/등위 접속사/코오디네이터/종합하는 사람/동격으로 하는 것
coot	물닭/얼간이/멍청이/검둥오리
cootie	이
coowner	공동 소유자
cop shop	파출소
copacetic	훌륭한/만족스러운
copaiba	코파이버 발삼
copal	코펄
copalm	풍향수/그 수지
coparcenary	공동 소유/상속 재산 공유
coparcener	공동상속인
copartner	협동/조합/조합제/협동자/조합원/파트너/공범자/합명회사/공동 경영자
cope	맞섣/덮걔/하늘/갓돌/창공/코프/겨루다/내밀다/덮이다/해나가다/대항하다/대처하다/극복하다/밤의 장막/갓돌을 얹다/코프를 입히다/종의 거푸집 맨 윗부분
copepod	요각류의
coper	말장수/마도위
copier	필생/복사기/모방자/복사하는 사람
copilot	부조종사
coping	갓돌/지지름돌/꼭대기층/갓돌 공사
coping saw	실톱
coping stone	갓돌/극치/끝손질/지지름돌/마지막 마무리
copious	막대한/풍부한/말이 많은/내용이 풍부한/자세히 서술하는
coplanar	공면의/동일 평면상의
copolymer	공중합체
copout	타협/핑계/구실/도피/변절자/손을 떼기
copper	동/동화/동전/동색/동판/구리/경관/순경/구리의/구리빛/적갈색/동산주/구리빛의/적갈색의/동판을 대다/구리로 만든/구리를 입히다/취사용 보일러/배의 물끓이는 솥/황산동으로 물들이다/주홍부전나비속의 나비
copper Indian	북아메리카 인디언
copper beech	너도밤나무의 일종
copper bottomend	건전한/진짜의/믿을 수 있는/밑바닥에 동판을 댄
copper colored	구리빛의
copper nitrate	질산동
copper pyrites	황동광
copper red	적동광
copper sulfate	황산동
copperas	녹반
copperhead	미국 살무사/남북전쟁당시 남부에 동정한 북부사람
coppernose	딸기코
copperplate	동판/동판의/동판인쇄/동판조각/동판 인쇄의/깨끗한 초서체
copperskin	아메리카 인디언
coppersmith	구리 세공인/구리 그릇 제조인
coppery	구리빛의/구리같은/적갈색의/동을 함유한
coppice	잡목숲/작은 관목숲
copra	코프라
copresident	공동 사장
coproduce	공동생산하다
coproducer	공동생산자
coprolagnia	애분
coprolalia	예어/추어증/분어증
coprolite	분석
coprology	포르노/분석학/외설 취미
coprophagous	똥을 먹고 사는
coprophagy	식분/분식증
coprophilia	호분증/기분증
coprophilous	똥에서 자라는
coprosperity	공영
copsewood	잔 나무
copsy	덤불 숲이 많은
copula	계사/접합부/연결사
copulate	결합한/연결한/교접하다/성교하다
copulation	교미/교접/성교/연계/결합/연결
copulative	계사/성교의/교접의/연계적인/연결하는/연계접속사
copulin	코퓰린
copy	벌/통/권/부/본/모방/원고/사본/초본/모사/코피/등본/복사/제재/베끼기/베끼다/광고문/연습과제/복사인와/모사하다/복사하다/모방하다/신문기사거리/몰래 베끼다/...을 그대로 베끼다
copy editor	원고정리 편집자
copy paper	원고용지
copy tag	반복 부가의문문
copybook	사본/습자책/복사부/습자교본
copybook maxims	평범한 격언
copyboy	잡일꾼/원고 심부름하는 아이
copycat	모방자/그대로 베끼는 아이
copydesk	편집자용 책상
copyedit	정리하다
copygraph	복사기
copyhold	등본 소유권
copyholder	원고대/교정 조수/원고 누르개/등본소유권자
copying	복사/등사
copying book	복사부
copying ink	필기용잉크
copying paper	코피지/복사지
copying press	복사기
copying ribbon	복사용 리본
copyist	필생/필경자/모방자
copyread	정리하다
copyreader	편집원/부편집장/원고 정리원
copyright	판권/저작권/저작권으로 보호하다/...의 판권을 얻다
copyright library	납본도서관
copyright page	판권면
copyrighter	판권소유자
copytaster	원고 감정원
copytypist	코피를 만드는 타이피스트
copywriter	광고 문안 작성자
copywriting	광고 문안 작성
copywrong	해적판/판권 위반의 코피
coq au vin	코코뱅
coquelicot	개양귀비
coquet	희롱하다/농락하다/아양을 떨다/가지고 졸다/교태를 부리다/심심풀이로 손대다
coquetry	교태/요염/아양/아양 부림
coquette	바람둥이여자/요염한 여자
coquettish	요염한/교태를 부리는
coquille	코키유/조개구이 요리에 담아 내놓음
coquina	패각암
coquito	칠레종려
coracle	작은 배
coracoid	오훼골/오훼골의/오훼 돌기의
coral	산호/산호빛/산호층/주홍색의/새우 알/산호세공품/산호로 만든/장난감 젖꼭지
coral island	산호섬
coral pink	산호색
coral reef	산호초
coral snake	산호뱀
coral tree	해홍두
coralline	산호말/산호질의/산호빛의/산호모양의 동물
coralline ware	산호자기
corallite	산호석/화석산호/산호층의 골격/홍산호빛의 대리석
coralloid	산호모양의
coram	...의 면전에서의 뜻
coram judice	재판관 에서
coram populo	대중 에서/공공연하게
coranglais	잉글리시 호른
corban	봉납물 마가복음7
corbeil	꽃바구니 장식
corbel	초엽/까치발/받침대/받침장치를 하다/받침대로 받치다/무게를 받치는 벽의 돌출부
corbel table	받침대로 받친 돌출면
corbeling	내물림 구조/내물림을 붙임
corbie	까마귀
corbiestep	박공단
cord	건/끈/인대/노끈/새끼/구속/굴레/코드/삭상조직/코듀로이/가는 밧줄/장작의 평수/새끼로 묶다/코듀로이 바지/골지게 짠 천/평수 단위로 쌓다/골지게 짠 직물의 이랑
cord cordless	교류.충전 양용의
cordage	삭구/밧줄/코드수/배의 밧줄
cordate	심장 모양의
corded	골지게 짠/끈으로 묶은/힘줄이 불거진/코드 척 단위로 쌓아 올린
cordelle	배 끄는 밧줄/밧줄로 끌어당기다
cordial	주스/강심제/강장제/코디얼/강심성의/성심성의의/충심으로부터의/원기를 돋구는/과일주스에 물을 탄 음료
cordiality	충정/진심/따뜻한 우정/진심어린 언동
cordially	정성껏/진심으로/성의를 다해서
cordiform	심장형의
cordillera	산계/대산맥
cording	밧줄/로프류/골지게 짜기
cordite	코르다이트
cordless	전지식의/코드가 없는
cordoba	코르도바/코르도바 지폐
cordon bleu	대가/명인/청수장/일류의/일류인/일류 요리사/일류요리사가 만든
cordon sanitaire	방역선/완충 지대
cordovan	코도반 가죽/코도반 가죽의
corduroy	코듀로이/코듀로이 양복
corduroy road	통나무도로
cordwainer	구둣방/제화공 조합원
cordwood	장작 다발/길이 4피트의 목재/코드척단위로 파는 장작
core	심/근/자심/모형/핵심/골자/중심핵/응어리/고갱이/속마음/자기코어/속를 빼내다/가운데 가닥/자심기억장치
core city	핵도시/구시가/대도시의 중심부
core curriculum	코어 커리큘럼
core memory	자심 기억 장치
core storage	자심 기억 장치
core time	코어 타임/핵시간에서 반드시 근무해야 하는 신간대
core tube	코어튜브/시료채취관
coreless	공허한/속이 없는
coreligionist	같은 신자
coreopsis	큰금계국
corer	표본 채취기/응어리 뽑는 기구
coresidence	남녀 공동 기숙사
corespondent	공동 피고인
corespondent shoes	2색 신사화
corf	활어조/석탄운반용 바구니
corgi	코기견
coriaceous	피질의/가죽같은/가죽으로 만든
coriander	고수풀
coriparian	하안 공동 소유권자
corium	진피/혁질부
cork	낚시찌/코르크/코르크나무/코르크 제품/코르크화 되다/코르크마개를 하다/코르크 먹을 칠하다
cork jacket	코르크 재킷
cork oak	코르크나무
cork tipped	코르크 모양의 필터가 붙은
cork tree	황병나무
corkage	코르크마개를 끼움/마개 뽑는 서비스료
corked	술취하여/맛이 덜한/코르크마개를 한/코르크마개 냄새나는/코르크 먹으로 화장한
corker	굉장한 사람/결정적 일격/결정적 의론/엄청난 거짓말/마개를 하는 사람
corking	굉장한/멋들어진
corkscrew	빙빙돌리다/나사 모양의/타래송곳뽑는/나사모양으로 나아가다/나사모양으로 꾸부리다
corkscrew dive	선회 강하
corkwood	코르크질의 나무
corky	들뜬/쾌활한/코르크의/코르크 냄새나는
corm	괴경/구경
cormolyn sodium	크로몰린 나트륨
cormorant	대식가/가마우지/욕심쟁이/욕심많은/많이 먹는
corn	밀/못/뿔/곡식/곡물/낟알/귀리/곡초/티눈/옥수수/진부한것/주요 곡물/소금을 뿌리다/소금에 절이다/감상적인 음악/뿔이 있는의 뜻
corn boil	삶은 옥수수 파티
corn borer	조명충나방
corn bread	옥수수 빵
corn cake	옥수수 과자
corn chandler	잡곡상
corn chip	콘칩
corn cockle	선옹초
corn color	담황색
corn colored	담황색의
corn dance	옥수수 춤
corn dodger	딱딱한 옥수수 가루 빵
corn dog	콘도그
corn earworm	큰담배밤나방의 유츙
corn exchange	곡물 거래소
corn flag	노랑붓꽃
corn flour	옥수수가루
corn meal	보리가루/옥수수가루
corn oil	옥수수 기름
corn picker	옥수수 수확기
corn pone	남부식의
corn poppy	개양귀비
corn rent	밀로 바치는 소작료
corn shock	옥수수 노적가리
corn silk	옥수수의 수염
corn snow	싸라기눈
corn sugar	옥수수 전분당
corn syrup	옥수수 시럽
corn whiskey	옥수수 위스키
cornball	낡은/진부한/시골뜨기/촌스러운/촌스러운 것/당밀을 묻힌 팝콘/감상적이고 진부한 사람
cornbrash	콘브래시충
corncob	옥수수의 속대/옥수수 파이프
corncracker	가난한 남부 백인
corncrake	흰눈썹뜸부기
corncrib	옥수수 창고
cornea	각막
corneal	각막의
cornel	산딸나무속의 식물
corneous	각질의
corner	모/지방/매점/구석/지역/변두리/코너의/귀퉁이/모퉁이/코너킥/길모퉁이/비밀장소/외딴 곳/매점하다/길모퉁이의/우묵한 곳/구석진 곳/모를 내다/코너링하다/모를 이루다/구석에 두는/모퉁이를 돌다/모퉁이에 있다/모서리의 쇠붙이/궁지에 빠뜨리다/...을 구석으로 몰다
corner boy	거리의 불량자
corner kick	코너 킥
corner reflector	코너 반사경
corner shop	작은 상점
cornerback	코너백
cornered	진퇴 양난의/구석에 몰린/..한 모서리의
cornerer	매점자
cornering skid	방향 전환할 때의 미끄러짐
cornerman	전위/세컨드/매점자/포워드/거리의 깡패/양끝에선 익살 광대
cornerstone	기본/기초/초석/모퉁잇돌/근본 이념
cornet	코넷/신호기/흰 모자/코넷 주자/코넷 음전/기병대 기수/원뿔꼴의 종이 봉지
cornetapistone	코넷
cornetist	코넷 연주자
cornfactor	곡물 중개인
cornfed	둔중한/뚱뚱한/옥수수로 기른
cornfield	보리밭/곡물밭/옥수수밭
cornflakes	콘플레이크스
cornflower	수레국화/보릿잎동자꽃
cornhusk	옥수수껍질
cornhusker	옥수수껍질을 벗기는 기계
cornhusking	옥수수껍질 벗기기/옥수수껍질 벗기기 축제
cornice	처마 장식/벼랑 끝에 차양처럼 얼어 붙은 눈더미
corniced	처마장식이 달린
corniche 	절벽가의 도로
cornloft	곡물 창고
cornopean	코넷/풍금의 코넷 음전
cornporium	팝콘 전문 연쇄점
cornrow	콘로/콘로형으로 하다
cornstalk	키다리/보릿짚/옥수수대
cornstarch	콘스타치
cornu	뿔/각상돌기
cornucopia	풍부/풍요의 뿔/그런 모양의 장식/원뿔꼴 종이 봉지
cornucopian	풍부한
cornuted	뿔이 있는/뿔 모양의
corny	곡류의/진부한/틴ㄴ의/센치한/케케묵은/감상적인/촌스러운/티눈이 생긴/멜로드라마적인/곡식이 풍부한
corollaceous	계/결과/추론/자연적인결론
corollate	화관이 있는
corona	관/광환/부관/광관/무리/코로나/덧꽃부리/원형 촛대/코로나 방전/처마 장식의 중층부
coronach	만가/조가
coronagraph	광관의
coronal	보관/화환/화관/부관의/두정의/코로나의
coronal hole	코로나의 구멍
coronal suture	관상 봉합
coronary	관상의/심장의/관상 동맥 혈전
coronary artery	관상 동맥
coronary thrombosis	관상 동맥 혈전증
coronation	대관/대관식
coronavirus	코로나바이러스
coroner	검시관/매장물조사관
coronet	보관/제관/작은 관 모양의 머리 장식품
coroneted	귀족의/보관을 쓴
coronpiece	꼭대기를 이루는 것
corotation	동시 회전
corozo	상아야자/상아야자 열매
corporal	성체포/신체의/상등병/개인적인
corporal oath	성물에 손을 대고 하는 선서
corporal's guard	작은 그룹/소수의 신봉자들/하사가 인솔하는 소 분대
corporality	유형/육체/육체적 욕망
corporate	공동의/단체의/통합된/법인의/집합적인/법인 자격으로
corporate advertising	기업 광고
corporate identity	기업 이미지 통합 전략
corporate image	기업 이미지
corporate ladder	기업 승진 단계
corporate raider	기업 매수인
corporate spy	기업 스파이
corporate state	법인형 국가
corporate town	자치 도시
corporation	단체/법인/조합/시의회/유한회사/사단법인/올챙이배/도시 자치체/지방 자치제/지방 공공 단체
corporation aggregate	사단 법인/집합 법인
corporation law	회사법
corporation lawyer	회사 고문 변호사
corporation sole	단독 법인
corporation stock	시공채/자치체 공채
corporation tax	법인세
corporative	법인의/협조 조합주의의
corporator	주주/법인의 일원/시정기관의 한 구성원
corporeal	유형의/신체상의/물질적인/육체적인
corporeality	유체/유형/육체/신체
corporeity	신체/물질성/형체가 있음/형체적 존재
corps	단/단체/군단/학우회/..대/특수 병과/병단에 소속
corps area	군관구/군단 작전 지역
corps de ballet	발레단
corps diplomatique	외교단
corpse	시체/송장
corpse candle	도깨비불/시체곁에 켜놓는 촛불
corpsman	위생병
corpulence	비대/비만
corpulent	비만한/뚱뚱한
corpus	총체/원금/전부/신체/시체/전집/집성/자금/기본금/언어자료
corpus delicti	죄체/피살 시체/범죄의 주체
corpus juris	법전
corpus luteum	황체
corpus vile	실험용 밖에 되지 않는 무가치한 것
corpuscle	혈구/소체/전자/미립자
corpuscular	미립자의
corpuscular theory	입자설
corrade	무너지다/침식되다/닳게 하다
corral	잡다/가두다/가축우리/덫울타리/손에 넣다/우리에 넣다/둥글게 둘러 진을 치다/마차를 둥글게 둘러친 진
corrasion	삭마
correct	옳은/의당한/정확한/온당한/고치다/수정하다/틀림없는/예의바른/교정하다/징계하다/바로잡다/중화하다/첨삭하다/타이르다/정정하다/품행방정한/..의 잘못을 지적하다
correct card	예의범절/경기 등의 프로그램
correction	벌/정정/수정/보정/교정/징계/첨삭
correction fluid	수정액
correctional facility	교도소/교도시설
correctional institution 	교도소
correctional officer	교도관
correctitude	방정
corrective	조정약/교정물/교정하는/조정하는
corrective maintenance	고장 수리
corrective trainig	교정 교육 처분직업 교육과 일반 교육을 받게함
correctly	바르게/정확하게/정확히 말하면
correctness	단정/방정/정확함
corrector	정정자/감사관/중화제/징치자/교정자
correlate	상관물/서로 관련하다/서로 관련시키다/상호관계를 나타내다/상호관계가 있는 사람
correlation	상관성/상관시킴/상호관계
correlation coefficient	상관 계수
correlative	유사한/상관어/상관물/상관적인
correlative conjunctions	상관 접속사
correlative terms	상관명사
correlative words	상관어
correlativity	상관성/상관관계
correspond	부합하다/교신하다/일치하다/조화하다/...에 상당하다
correspondence	일치/통신/조화/상응/해당/대응/편지/왕복문서/서신왕래
correspondence clerk	통신 담당
correspondence column	독자 통신란
correspondence course	통신교육
correspondence department	문서과
correspondence principle	대응원리
correspondence school	통신 교육부/통신 교육학교
correspondent	통신인/기고가/거래처/특파원/대응하는/일치하는/일치하는 것
correspondent accont	대리구좌 에 개설한 구좌
correspondent bank	대리은행
corresponding	유사한/통신의/대응하는/일치하는/상응하는
corrida	투우
corridor	복도/회랑/회랑지대
corridor train	통랑열차있음
corrie	산 중턱의 동굴
corrigendum	오식/정오표/정정해야 할 잘못
corrigent	교정약
corrigible	유순한/교정하기 쉬운/교정할 수 있는
corrival	경쟁 상대
corroborant	강장제/확증적인/보강하는
corroborate	확증하다/확실하게 하다
corroboration	확증/보강증거/확실하게 함
corroborative	확증적인/뒷받침하는
corroborator	확증자
corroboree	잔치소동/법석떨기/오스트레일리아 원주민의 코로보리 춤
corrode	좀먹다/부식하다/침식하다/부패하다/마음을 좀먹다/서서히 나빠지다
corrodible	부식성의
corrosion	침식/소모/부식/마음을 좀 먹기/부식으로 생긴 것
corrosive	좀먹는/신랄한/부식제/부식성의/부식시키는 것
corrosive sublimate	승홍
corrugate	주름지게하다/주름 잡히다/물결모양이 되다/물결모양으로 주름 잡다
corrugated	골진/주름잡힌/물결모양의
corrugated iron	골함석
corrugated paper	골판지
corrugation	주름/물결주름/물결모양으로 만들기
corrugator	추미근
corrupt	부정한/오염된/사악한/타락한/오직의/전와된/퇴폐한/더럽히다/변조하다/매수하다/개악하다/타락하다/부도덕한/부패하다/부패시키다/전화시키다/타락시키다/순수성을 잃은/믿을 수 없는/뇌물이 통하는/틀린 곳이 많은
corrupt practices act	부패 행위 방지법
corruptibility	타락성/부패성/매수가능성
corruptible	부패하기 쉬운/뇌물이 통하는/타락하기 쉬운
corruption	변조/퇴폐/매수/부패/타락/독직/폐풍/전와/개악/순수성 상실
corruptionist	증회자/부패한 관리
corruptive	부패성의/타락시키는
corruptly	타락하여/전와하여
corsage	보디스/상반신부/작은 꽃다발
corsair	해적/해적선
corselet	갑옷의 동부/코르셋과 브래지어를 합친 여성용 속옷
corset	코르셋
corseted	코르셋을 입은
corsetiere	코르셋 제조자
corss section paper	모눈 종이
corssjack	뒷돛대 아랫단의 큰 가로돛
cortege	행렬/시종/수행원
cortex	외피/피질/피층/대뇌피질
cortical	피질의/피층의/외피의
cortical braille	피질 점자법
corticopontine cell	피질교세포
cortile	안뜰/안마당
cortin	코르틴 부신피질의 유효성분과 부신전체의 엑스
cortisone	코티존
corundum	강옥
coruscate	번득이다/번쩍이다/반짝반짝 빛나다
coruscation	광휘/번쩍임/번득임
corvee	부역/강제노역/근로봉사
corvette	코르벳함
corvine	까마귀의
corymb	산방화서
coryphaeus	리더/지도자/합창대 총지휘자
coryphee	소군무의 주역 댄서
coryza	코감기/코 카타르
cos lettuce	양상추의 일종
cose	편히쉬다/편안히 앉다
cosecant	여할/코시컨트
coseismal	등진파권상의
cosh	곤봉/경찰봉/곤봉으로 치다
cosher	호사시키다/귀여워하다/응석받아기르다
cosignatory	연판자/연서국/연서의/연서인
cosigner	연서인/어음의 공동 서명인
cosine	여현/코사인
cosm	세계/우주의 뜻
cosmetic	화장품/미안용의/표면적인/미발용의/화장용의/겉꾸리는
cosmetic surgery	미용외과
cosmetician	미용사/미용전문가/화장품제조인
cosmeticize	화장하다/외면적으로 아름답게 하다
cosmetology	미용술
cosmic	우주의/질서있는/광대무변한
cosmic dust	우주진
cosmic fog	성운
cosmic jet	우주제트
cosmic noise	우주 잡음
cosmic rays	우주선
cosmic speed	우주속도
cosmism	우주론
cosmo	외국인학생
cosmodog	소련의 우주견
cosmodrome	우주선 기지
cosmogenic	우주선의 작용으로 생긴
cosmogony	우주기원론/우주의 발생
cosmographer	우주 형상지 학자
cosmographic	우주형상지의
cosmography	우주형상지/우주구조론
cosmological	우주론의/우주 철학의
cosmologist	우주론
cosmonaut	우주 비행사
cosmonautic	우주 비행학의
cosmonautics	우주비행학
cosmonette	여자 우주 비행사
cosmoplastic	우주형성의
cosmopolis	국제 도시
cosmopolitan	국제적인/세계주의의/전세계적인/전세계에 분포한/사해 동포주의의/세계를 집으로 삼는/세계각지 사람들로 구성된
cosmopolitanism	세계주의/사해 동포주의
cosmopolite	국제인/세계인/세계주의자/코스모폴리턴
cosmopolitical	세계 정책적인/전세계의 이해와 관계 있는
cosmorama	세계 풍속 요지경
cosmos	조화/우주/질서/완전체계/코스모스
cosmotron	양자 싱크로트론
cosponsor	공동 스폰서/...의 공동 스폰서가 되다
cosset	페트/애완 동물/귀여워하다/응석받이로 기르다/손수 기르는 새끼양
cossie	수영복
cost	값/대가/원가/들다/고통/주다/손실/비용/희생/가격/경비/요하다/잃게하다/소송비용/들게하다/비용이 들다/희생하게하다/원가를 산정하다
cost account	원가를 견적하다/원가 계산을 하다/...을 비교 평가하다
cost accountant	원가 계산 담당자
cost accounting	원가 계산
cost benefit	비용과 편익의/비용 대 편익의
cost book	회계부/원가 장부
cost clerk	원가 계산 담당자
cost cut	...의 경비를 삭감하다
cost effective	비용효율적인
cost effectiveness 	비용효과
cost of living	생계비의
cost of living index	물가 지수
cost performance 	비용대 성능비
cost plus contract	원가 가산 계약
cost plus pricing	코스트플러스 가격 결정
cost price	원가/비용 가격
cost push	생산원가/물가 상승
cost sheet	원가 계산표
costa	주맥/늑골/잎의 가운데 맥
costal	늑골의
costard	영국종 큰 사과
costate	늑골이 있는
costean	광맥을 찾아 바위까지 파 내려가다
costermonger	행상인
costing	원가 계산
costive	째째한/변비의/우유부단한/동작이 둔한
costly	값비싼/호사스러운/희생이 큰/비용이 많이 드는
costmary	쑥국화
costume	풍속/복장/숙녀복/여성복/...옷/...복/시대 의상/의상을 입히다/의상을 조달하다
costume ball	가장 무도회
costume jewelry	모조 보석류
costume piece 	시대극
costumer	의상 만드는 사람/의상을 세놓는 사람
costumey	무대의상 같은/지나치게 성장한
cosurety	공동보증인
cot case	걸을 수 없는 환자/곤드레 만드레 취한 사람
cot death	요람사
cotangent	여접/코탄젠트
cote	집/양우리
cotehardie	코트아르디
cotenancy	공동 차지/부동산 공동 보유
cotenant	공동차지인/부동산 공동 보유자
coterie	동인/그룹/한패/친구
coterminous	공통경계의/동일연장의/경계를 서로 접하는
cothurnus	비장조/반장화
cotics	마약
cotidal	등조의
cotillion	코티용/그 곡/정식무도회/상대를 줄곧 바꾸는 스텝이 복잡한 댄스
cototate	동시 회전하다
cotquean	우락부락한 여자/여자 일을 하는 남자
cotransduction	동시 형질 도입
cotta	중백의/흰 옷
cottage	시골집/단층집/작은 집/작은 별장/작은 주택
cottage cheese	희고 연한 치즈
cottage colony	휴양지
cottage farmer	소작농
cottage hospital	벽지 병원
cottage industry	가내 공업
cottage loaf	포개 구운 빵
